city,price,location,beds,baths,size,title,price_pkr,size_marla,neighbourhood,area,price_per_marla
islamabad,5.75 Crore,"Pakistan Town - Phase 1, Pakistan Town",4.0,6.0,1.2 Kanal,House Is Available For sale In Pakistan Town - Phase 1,57500000.0,24.0,Pakistan Town - Phase 1,Pakistan Town,2395833.33
islamabad,4.1 Crore,"Top City 1, Islamabad",5.0,6.0,10 Marla,10 Marla Brand New House For Sale,41000000.0,10.0,Top City 1,Islamabad,4100000.0
islamabad,11.7 Crore,"DHA Defence Phase 2, DHA Defence",5.0,6.0,1 Kanal,DHA Phase 2 Luxury House For Sale Beautiful Location Height Location House,117000000.0,20.0,DHA Defence Phase 2,DHA Defence,5850000.0
islamabad,4 Crore,"Top City 1 - Block A, Top City 1",5.0,6.0,10 Marla,Affordable House For Sale In Top City 1 - Block A,40000000.0,10.0,Top City 1 - Block A,Top City 1,4000000.0
islamabad,2.95 Crore,"Mumtaz City, Islamabad",5.0,6.0,8 Marla,Ready To sale A House 8 Marla In Mumtaz City Mumtaz City,29500000.0,8.0,Mumtaz City,Islamabad,3687500.0
islamabad,98 Lakh,"Alipur Farash, Islamabad",2.0,3.0,5 Marla,New 5 Marla House Demand 98 Lack 20 foot Gali Electricity water Zahid 03105874793,9800000.0,5.0,Alipur Farash,Islamabad,1960000.0
islamabad,48 Lakh,"Ali Pur, Islamabad",2.0,2.0,3 Marla,New 3 Marla House Demand 52 Lack 16 Feet Street Electricity Water,4800000.0,3.0,Ali Pur,Islamabad,1600000.0
islamabad,3.25 Crore,"Soan Garden, Islamabad",4.0,5.0,6 Marla,6 MARLA MODERN DESIGNER HOUSE FOR SALE | DOUBLE UNIT BRAND NEW | CORNER CATEGORY,32500000.0,6.0,Soan Garden,Islamabad,5416666.67
islamabad,7.5 Crore,"Soan Garden - Block E, Soan Garden",7.0,6.0,1 Kanal,1 KANAL BRAND NEW DOUBLE UNIT HOUSE FOR SALE | 7 BEDROOMS | NEAR TO IMARAT MALL,75000000.0,20.0,Soan Garden - Block E,Soan Garden,3750000.0
islamabad,4.2 Crore,"Soan Garden - Block H, Soan Garden",6.0,6.0,10 Marla,"10 MARLA, ELEGANT BRAND-NEW DOUBLE UNIT HOUSE FOR SALE IN SOAN GARDEN, ISB",42000000.0,10.0,Soan Garden - Block H,Soan Garden,4200000.0
islamabad,1.95 Crore,"MPCHS - Multi Gardens, B-17",3.0,4.0,5 Marla,Designer 5 Marla House In B-17 Faisal Hills,19500000.0,5.0,MPCHS - Multi Gardens,B-17,3900000.0
islamabad,11.9 Crore,"DHA Defence Phase 2, DHA Defence",5.0,6.0,1 Kanal,Dha2 One kanal Brnad new Designer House,119000000.0,20.0,DHA Defence Phase 2,DHA Defence,5950000.0
islamabad,1.9 Crore,"Islamabad Highway, Islamabad",5.0,6.0,5 Marla,5 Marla House For Sale In Rawalpindi Low Price House For Sale used House For Sale In Rawalpindi 5 Marla brand new house For Sale In Islamabad,19000000.0,5.0,Islamabad Highway,Islamabad,3800000.0
islamabad,2.4 Crore,"Islamabad Highway, Islamabad",5.0,6.0,5 Marla,5 Marla House For Sale In Islamabad Jinnah Garden Nearby Islamabad Highway Pakistan 5 Marla Double Story House For Sale In Islamabad,24000000.0,5.0,Islamabad Highway,Islamabad,4800000.0
islamabad,2.7 Crore,"Islamabad Highway, Islamabad",4.0,5.0,7 Marla,Beautiful House For Sale In Islamabad Pakistan CDA Approved Brand New House For Sale Luxury House For Sale Used House For Sale,27000000.0,7.0,Islamabad Highway,Islamabad,3857142.86
islamabad,3.1 Crore,"University Town - Block A, University Town",3.0,4.0,1 Kanal,FULL SINGLE STOREY House FOR SALE,31000000.0,20.0,University Town - Block A,University Town,1550000.0
islamabad,4.75 Crore,"AGOCHS Phase 1, AGOCHS",5.0,4.0,1 Kanal,1 kanal beautiful house for sale in Agochs society,47500000.0,20.0,AGOCHS Phase 1,AGOCHS,2375000.0
