city,price,location,beds,baths,size,title,price_pkr,size_marla,neighbourhood,area,price_per_marla
karachi,4.3 Crore,"Askari 5 - Sector J, Askari 5",3.0,4.0,300 Sq. Yd.,Brand New Semi-Furnished 3-Bedroom Apartment For Sale,43000000.0,11.86,Askari 5 - Sector J,Askari 5,3625632.38
karachi,3.8 Crore,"Askari 6, Malir Cantonment",4.0,4.0,333 Sq. Yd.,Brand New Semi-Furnished 4-Bedroom Apartment,38000000.0,13.17,Askari 6,Malir Cantonment,2885345.48
karachi,4.1 Crore,"Askari 5 - Sector J, Askari 5",3.0,3.0,276 Sq. Yd.,Brand New-Semi Furnished 3 Bedroom Apartment,41000000.0,10.91,Askari 5 - Sector J,Askari 5,3758020.16
karachi,24 Crore,"DHA Phase 8, DHA Defence",5.0,6.0,500 Sq. Yd.,Dha Phase 8 500 Sq Yard Brand New Bungalow 1+1+3 Bedroom With Basement Swimming Pool Full Furnished House Top Of The Line House Away From Sea,240000000.0,19.77,DHA Phase 8,DHA Defence,12139605.46
karachi,70 Crore,"DHA Phase 8, DHA Defence",4.0,5.0,"1,000 Sq. Yd.","Experience Unparalleled Luxury In This Stunning, Brand-New Semi-Furnished House In DHA Phase 8, Karachi, Boasting 1000 Yards 90x100 Of Opulent Living Space With 2+4 Spacious Bedrooms, Stylish Basement, Private Pool, Courtyard, Home Theatre, Private Lift,",700000000.0,39.54,DHA Phase 8,DHA Defence,17703591.3
karachi,2.13 Crore,"Falaknaz Harmony, Karachi",3.0,4.0,189 Sq. Yd.,3 Bed DD Flat For Sale,21300000.0,7.47,Falaknaz Harmony,Karachi,2851405.62
karachi,7.4 Crore,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",6.0,6.0,300 Sq. Yd.,300 SQ YARDS GROUND +ONE HOUSE FOR SALE,74000000.0,11.86,Gulistan-e-Jauhar - Block 15,Gulistan-e-Jauhar,6239460.37
karachi,2.25 Crore,"Chapal Courtyard, Karachi",3.0,3.0,172 Sq. Yd.,"Leased Flat For Sale In Chapal Courtyard , Scheme 33.",22500000.0,6.8,Chapal Courtyard,Karachi,3308823.53
karachi,2.4 Crore,"Gulistan-e-Jauhar - Block 11, Gulistan-e-Jauhar",3.0,3.0,183 Sq. Yd.,1650 Square Feet Flat For sale Is Available In Gulistan-e-Jauhar - Block 11,24000000.0,7.24,Gulistan-e-Jauhar - Block 11,Gulistan-e-Jauhar,3314917.13
karachi,1.28 Crore,"Bahria Town - Precinct 31, Bahria Town Karachi",3.0,3.0,235 Sq. Yd.,235sq Yd Villas At Precinct-31 Close To Gallery And Mosque Are Available FOR SALE,12800000.0,9.29,Bahria Town - Precinct 31,Bahria Town Karachi,1377825.62
karachi,4.1 Crore,"Askari 6, Malir Cantonment",4.0,4.0,333 Sq. Yd.,Affordable Prime Location Flat Of 3000 Square Feet Is Available For sale,41000000.0,13.17,Askari 6,Malir Cantonment,3113135.91
karachi,6.2 Crore,"Askari 6, Malir Cantonment",5.0,5.0,300 Sq. Yd.,Prime Location 375 Square Yards House For Sale In Askari 6,62000000.0,11.86,Askari 6,Malir Cantonment,5227655.99
karachi,7.5 Crore,"DHA Phase 1, DHA Defence",4.0,4.0,300 Sq. Yd.,A Stunning House Is Up For Grabs In DHA Phase 1 Karachi,75000000.0,11.86,DHA Phase 1,DHA Defence,6323777.4
karachi,2.3 Crore,"Clifton - Block 3, Clifton",2.0,3.0,139 Sq. Yd.,"2 Bed Apartment for Sale in Marine Arcade, Clifton Block 3",23000000.0,5.5,Clifton - Block 3,Clifton,4181818.18
karachi,2.65 Crore,"Al Minal Tower, Gulistan-e-Jauhar - Block 3",3.0,3.0,189 Sq. Yd.,Luxurious 1700+ sq ft | 3 Bed Drawing Dining Lower Floor 3 side Corner Location Apartment | Lease property |,26500000.0,7.47,Al Minal Tower,Gulistan-e-Jauhar - Block 3,3547523.43
