city,price,location,beds,baths,size,title,price_pkr,size_marla,neighbourhood,area,price_per_marla
lahore,14.25 Crore,"DHA Phase 6, DHA Defence",5.0,6.0,1 Kanal,1-Kanal Semi Furnished Spanish Design Luxury Bungalow Design By Faisal Rasul Available for Sale in DHA Phase-6 Near Dolmen Mall.,142500000.0,20.0,DHA Phase 6,DHA Defence,7125000.0
lahore,7 Crore,"DHA Phase 7, DHA Defence",5.0,6.0,1 Kanal,1 Kanal Brand New Unique Design Bungalow For Sale In DHA Phase 7 Top Location,70000000.0,20.0,DHA Phase 7,DHA Defence,3500000.0
lahore,8 Crore,"DHA Phase 6, DHA Defence",5.0,6.0,1 Kanal,1 Kanal Brand New Unique Design Bungalow For Sale In DHA Phase 6 Ideal Location,80000000.0,20.0,DHA Phase 6,DHA Defence,4000000.0
lahore,1.5 Crore,"Military Accounts Housing Society, Lahore",4.0,5.0,4 Marla,4 MARLA SLIGHTLY USED HOUSE DOUBLE STOREY FOR SALE MILITARY ACCOUNT SOCIETY COLLEGE ROAD LAHORE,15000000.0,4.0,Military Accounts Housing Society,Lahore,3750000.0
lahore,11.25 Crore,"DHA Phase 2 - Block R, DHA Phase 2",4.0,5.0,2 Kanal,2 Kanal Used Modern Design Single Story Bungalow For Sale At Prime Location Of Dha Lahore Near To Park Masjid & Commercial Market .,112500000.0,40.0,DHA Phase 2 - Block R,DHA Phase 2,2812500.0
lahore,6.7 Crore,"Cantt, Lahore",7.0,3.0,14 Marla,Bungalow 14 Marla (Corner),67000000.0,14.0,Cantt,Lahore,4785714.29
lahore,9 Crore,"DHA Phase 6, DHA Defence",5.0,6.0,1 Kanal,Signature 1 Kanal Luxury Residence PH 6,90000000.0,20.0,DHA Phase 6,DHA Defence,4500000.0
lahore,1.42 Crore,"Thokar Niaz Baig, Lahore",3.0,4.0,3.5 Marla,Luxury Brand New 3.5 Marla Designer House for Sale Near Thokar,14200000.0,3.5,Thokar Niaz Baig,Lahore,4057142.86
lahore,3.5 Crore,"Lake City Meadows, Lahore",4.0,5.0,10 Marla,Most Beautiful 10 Marla Modern House At Prime Location,35000000.0,10.0,Lake City Meadows,Lahore,3500000.0
lahore,8.25 Crore,"DHA Phase 7, DHA Defence",5.0,6.0,1 Kanal,KANAL ULTRA MODERN SUPER LUXURY STYLISH BUNGALOW FOR SALE ON TOP LOCATION,82500000.0,20.0,DHA Phase 7,DHA Defence,4125000.0
lahore,2.7 Crore,"DHA 9 Town, DHA Defence",3.0,4.0,5 Marla,5 MARLA BRAND NEW MODERN STYLE HOUSE FOR SALE IN DHA PHASE 9 TOWN,27000000.0,5.0,DHA 9 Town,DHA Defence,5400000.0
